Book title,price,rating,availibility
The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,Four,In stock
In the Woods (Dublin Murder Squad #1),£38.38,Two,In stock
The Silkworm (Cormoran Strike #2),£23.05,Five,In stock
The Exiled,£43.45,Three,In stock
The Cuckoo's Calling (Cormoran Strike #1),£19.21,One,In stock
Extreme Prey (Lucas Davenport #26),£25.40,Three,In stock
Career of Evil (Cormoran Strike #3),£24.72,Two,In stock
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,Four,In stock
The Girl You Lost,£12.29,Five,In stock
The Girl In The Ice (DCI Erika Foster #1),£15.85,Three,In stock
et Library (Raymond Ambler #1),£54.36,Four,In stock
Most Wanted,£35.28,Three,In stock
Hide Away (Eve Duncan #20),£11.84,One,In stock
Boar Island (Anna Pigeon #19),£59.48,Three,In stock
The Widow,£27.26,Two,In stock
Playing with Fire,£13.71,Three,In stock
What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,Five,In stock
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,Five,In stock
Delivering the Truth (Quaker Midwife Mystery #1),£20.89,Four,In stock
